Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
Harad,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2035,0.21065565889472745
Harad,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2018,13.6441018702851
Harad,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2025,11.826971650863573
Harad,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2030,11.70166254526489
Harad,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2035,5.795362711315667
Harad,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2040,2.702633806259622
Harad,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2045,1.3792025867162228
Harad,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2018,0.0008048229394467943
Harad,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2018,0.009817985116914934
Harad,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2025,0.02564288358311705
Harad,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2030,0.0763234207187916
Harad,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2035,0.03812267424621435
Harad,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2018,66.56539489320187
Harad,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2025,44.602613171054855
Harad,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2030,39.00344561201298
Harad,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2035,35.27483861513906
Harad,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2040,33.582986152910586
Harad,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2045,30.127015551158195
Harad,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2018,0.038044835287572
Harad,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2025,0.1025995897087091
Harad,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2030,0.28918360243446484
Harad,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2035,0.6784616867907712
Harad,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2040,0.5609172220304284
Mordor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2018,29.786945003058452
Mordor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2025,24.940777879551955
Mordor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2030,13.189206460984687
Mordor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2035,7.641785533072269
Mordor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2040,3.7593858442402346
Mordor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2045,0.45952181358815014
Mordor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2050,0.36662952427678874
Mordor,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2025,0.5514564477398197
Mordor,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2030,0.3214158964419525
Mordor,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2035,0.15605259849952838
Mordor,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2040,0.06056933758535599
Mordor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2018,6.805243712595356
Mordor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2025,7.600005730801667
Mordor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2030,8.10103535040046
Mordor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2035,5.521598641921504
Mordor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2040,2.180963465741986
Mordor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2045,1.683692123569937
Mordor,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2018,3.098235553539425
Mordor,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2025,2.1563641932282764
Mordor,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2030,1.2916128925318124
Mordor,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2035,0.552782824087187
Mordor,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2040,0.11051097064301302
Mordor,Industry,CO2,HLI_Lignite,Emissions,Gondor_globalLimit_364,2018,0.018413629544452595
Mordor,Industry,CO2,HLI_Lignite,Emissions,Gondor_globalLimit_364,2025,0.013404980119923556
Mordor,Industry,CO2,HLI_Lignite,Emissions,Gondor_globalLimit_364,2030,0.008425784373179989
Mordor,Industry,CO2,HLI_Lignite,Emissions,Gondor_globalLimit_364,2035,0.0038169360383922732
Mordor,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2018,0.0006485938299308805
Mordor,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2025,0.0020214473146028594
Mordor,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2030,0.006113746479572805
Mordor,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2035,0.015364286526044435
Mordor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2018,21.247641623819938
Mordor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2025,1.2581527584326593
Mordor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2030,1.7542330136719562
Mordor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2035,2.0822649309198065
Mordor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2040,4.760299085030134
Mordor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2045,8.89892113476501
Mordor,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2018,29.803197515468792
Mordor,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2025,67.04400111145247
Mordor,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2030,38.21662896839569
Mordor,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2035,36.75560706675567
Mordor,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2040,30.301839476431496
DolAmroth,Buildings,CO2,HLR_Gas_Boiler,Emissions,Gondor_globalLimit_364,2018,13.513569523914986
DolAmroth,Buildings,CO2,HLR_Gas_Boiler,Emissions,Gondor_globalLimit_364,2025,10.2856672594573
DolAmroth,Buildings,CO2,HLR_Gas_Boiler,Emissions,Gondor_globalLimit_364,2030,9.348431491966219
DolAmroth,Buildings,CO2,HLR_Gas_Boiler,Emissions,Gondor_globalLimit_364,2035,8.403004677670667
DolAmroth,Buildings,CO2,HLR_Gas_Boiler,Emissions,Gondor_globalLimit_364,2040,4.919785417363425
DolAmroth,Buildings,CO2,HLR_Gas_Boiler,Emissions,Gondor_globalLimit_364,2045,0.7302058260905226
DolAmroth,Buildings,CO2,HLR_Hardcoal,Emissions,Gondor_globalLimit_364,2018,3.3165780471708555
DolAmroth,Buildings,CO2,HLR_Hardcoal,Emissions,Gondor_globalLimit_364,2025,0.03119866012750261
DolAmroth,Buildings,CO2,HLR_Hardcoal,Emissions,Gondor_globalLimit_364,2030,0.01877888906223623
DolAmroth,Buildings,CO2,HLR_Hardcoal,Emissions,Gondor_globalLimit_364,2035,0.00937341064851595
DolAmroth,Buildings,CO2,HLR_Hardcoal,Emissions,Gondor_globalLimit_364,2040,0.0029099159432986865
DolAmroth,Buildings,CO2,HLR_Oil_Boiler,Emissions,Gondor_globalLimit_364,2018,0.025745083506766624
